cdr_id,calling_msisdn,called_msisdn,call_start_time,call_date,duration_seconds,call_type,service_type,cell_tower_id,rated_amount,status
abff55fe-5ba5-428c-a582-b8925863b3e9,09123844461,09129701426,2025-06-14 21:22:42,2025-06-14,2151,on_net,voice,ATB-8599,32.27,completed
effbaac5-4d05-4726-ab31-00212223470e,09183922425,09004964348,2025-04-17 09:15:17,2025-04-17,1644,off_net,voice,WAD-5476,41.1,completed
346d8c86-ed3d-4b65-b398-c335c45c82be,09165582009,09184210420,2025-04-30 21:03:49,2025-04-30,236,on_net,data,PSD-8572,3.54,failed
679a6b41-ebbc-4a7f-b2da-2fac121b561e,09187397396,09181603288,2025-04-03 22:24:02,2025-04-03,3083,on_net,sms,KRT-4708,46.24,completed
f10f189f-821b-4751-86d5-c5a103637bd4,09186363745,09128601767,2025-04-13 18:43:37,2025-04-13,482,on_net,sms,ATB-5173,7.23,dropped
d0ec1f96-82ae-48f3-bc72-06ebeafdaa30,09188490277,09180342068,2025-05-26 04:51:09,2025-05-26,3395,on_net,data,KSL-9762,50.92,completed
84dd4249-58bb-4f2f-8bbb-6bfd6af2610a,09186977143,09120577719,2025-06-17 05:32:05,2025-06-17,1831,on_net,voice,NYL-7088,27.46,completed
ee3ee9d2-ef66-4bd5-a2a5-faff029b08b2,09120577250,09180164928,2025-05-28 01:23:26,2025-05-28,78,on_net,sms,KSL-3829,1.17,completed
6ce18f11-f79b-415a-8a32-a3ec89ccc961,09182816158,09007060293,2025-06-13 20:02:12,2025-06-13,2156,off_net,voice,KRT-7864,53.9,completed
3c4a0bda-6c29-4a23-bd6f-3968e55a7e06,09185158328,09126204505,2025-05-28 06:29:07,2025-05-28,710,on_net,sms,KRT-5882,10.65,completed
ebcc91d8-0934-4715-a9f0-dab4136d9cdc,09189122800,09226611258,2025-04-30 00:58:12,2025-04-30,3283,off_net,voice,PSD-7134,82.08,completed
84c673aa-80e5-49f9-9315-ef3361845039,09128502289,09161184420,2025-05-25 17:57:23,2025-05-25,2660,roaming,voice,WAD-1208,212.8,completed
52243959-6d1e-4fbe-b713-ee553cccf05d,09163335383,+34366269401,2025-06-26 03:12:08,2025-06-26,561,international,sms,ATB-7065,56.1,completed
f9bf4d02-ee23-4a8d-a946-a8ab818cec58,09122011906,09228476306,2025-05-04 05:05:30,2025-05-04,845,off_net,voice,WAD-3651,21.12,completed
6e46fb18-3be1-4f96-85d1-7c236b7d171a,09125819634,09163330794,2025-05-19 21:29:05,2025-05-19,696,roaming,voice,KSL-3922,55.68,completed
bf315597-590d-4052-9b6b-9dad8670a436,09122973414,09161999275,2025-05-30 05:11:20,2025-05-30,1705,on_net,data,KSL-1907,25.57,completed
